"","year","city","Total.Pop","Pop.change"
"1","2005","Auckland",1499900,NA
"2","2005","Canterbury",531900,NA
"3","2005","Wellington",461600,NA
"4","2006","Auckland",1525700,25800
"5","2006","Canterbury",540000,8100
"6","2006","Wellington",466300,4700
"7","2007","Auckland",1545100,19400
"8","2007","Canterbury",547400,7400
"9","2007","Wellington",469300,3000
"10","2008","Auckland",1561800,16700
"11","2008","Canterbury",553800,6400
"12","2008","Wellington",471800,2500
"13","2009","Auckland",1579900,18100
"14","2009","Canterbury",560600,6800
"15","2009","Wellington",475600,3800
"16","2010","Auckland",1600200,20300
"17","2010","Canterbury",567700,7100
"18","2010","Wellington",479400,3800
"19","2011","Auckland",1622100,21900
"20","2011","Canterbury",559300,-8400
"21","2011","Wellington",483400,4000
"22","2012","Auckland",1640000,17900
"23","2012","Canterbury",556000,-3300
"24","2012","Wellington",485100,1700
"25","2013","Auckland",1657900,17900
"26","2013","Canterbury",562900,6900
"27","2013","Wellington",486700,1600
"28","2014","Auckland",1688600,30700
"29","2014","Canterbury",570600,7700
"30","2014","Wellington",493800,7100
"31","2015","Auckland",1724900,36300
"32","2015","Canterbury",585600,15000
"33","2015","Wellington",501800,8000
"34","2016","Auckland",1766200,41300
"35","2016","Canterbury",601900,16300
"36","2016","Wellington",510700,8900
"37","2017","Auckland",1806300,40100
"38","2017","Canterbury",614300,12400
"39","2017","Wellington",518300,7600
"40","2018","Auckland",1840600,34300
"41","2018","Canterbury",622800,8500
"42","2018","Wellington",525900,7600
"43","2019","Auckland",1870100,29500
"44","2019","Canterbury",632300,9500
"45","2019","Wellington",532600,6700
"46","2020","Auckland",1912100,42000
"47","2020","Canterbury",645900,13600
"48","2020","Wellington",542000,9400
