 year,Residence Total All Countries of Last Permanent Residence,Student Total All Countries of Last Permanent Residence,Visitor Total All Countries of Last Permanent Residence,Work Total All Countries of Last Permanent Residence,New Zealand and Australian citizens,TOTAL
2005,18457,8058,28609,11221,36478,103982
2006,19367,9534,30498,13882,36177,110687
2007,16758,12563,32118,15900,34982,113450
2008,15965,16214,33620,17451,35237,119994
2009,14818,16114,23731,14731,37349,108265
2010,13535,17015,19840,13406,35613,100499
2011,13784,16774,19689,15603,33261,100206
2012,13852,16145,18092,17705,34685,101762
2013,13508,16444,18102,20317,40520,110282
2014,14511,25323,21269,22026,43572,128180
2015,14982,30062,23545,24926,45165,140125
2016,17161,25866,26814,26111,45996,143124
2017,15601,25210,25516,29183,43513,140102
2018,13268,24664,26843,31866,41344,139016
2019,14499,26744,32992,39742,48461,165742
2020,7490,10565,16199,12968,37887,88768
Table information:,,,,,,
Units:,,,,,,
"Number, Magnitude = Units",,,,,,
,,,,,,
Footnotes:,,,,,,
"The standard error indicates the uncertainty of the provisional migration estimate. For example, the 95 percent confidence interval is +/-1.96 standard errors.",,,,,,
"These intervals reflect the model uncertainty, not the extent of future revisions to provisional data. Standard errors are non-additive.",,,,,,
"Owing to rounding, individual figures may not sum to stated totals.",,,,,,
Visa type is available from July 2003,,,,,,
The immigration visa type is that held or granted on arrival in New Zealand. People may change their visa type while still in New Zealand.,,,,,,
 ,,,,,,
Symbols:,,,,,,
.. figure not available,,,,,,
C: Confidential,,,,,,
E: Early Estimate,,,,,,
P: Provisional,,,,,,
R: Revised,,,,,,
S: Suppressed,,,,,,
,,,,,,
Status flags are not displayed,,,,,,
,,,,,,
Table reference: ,,,,,,
ITM492AA,,,,,,
,,,,,,
Last updated:,,,,,,
10 September 2021 10:45am,,,,,,
,,,,,,
Source: Statistics New Zealand,,,,,,
Contact: Information Centre,,,,,,
Telephone: 0508 525 525,,,,,,
Email:info@stats.govt.nz,,,,,,
