"","year","Northland.Region","Auckland.Region","Wellington.Region","Marlborough.Region","Canterbury.Region","North.Island"
"1","2005",151000,1348900,461600,43000,531900,3145400
"2","2006",152700,1373000,466300,43600,540000,3185100
"3","2007",154700,1390400,469300,43800,547400,3214700
"4","2008",156300,1405500,471800,44200,553800,3241700
"5","2009",158200,1421700,475600,44400,560600,3274500
"6","2010",160600,1439600,479400,44600,567700,3311700
"7","2011",162500,1459600,483400,44700,559300,3348100
"8","2012",163500,1476500,485100,44600,556000,3373700
"9","2013",164700,1493200,486700,44700,562900,3398700
"10","2014",168200,1520400,493800,45400,570600,3458300
"11","2015",172100,1552800,501800,46200,585600,3527700
"12","2016",176400,1589800,510700,47100,601900,3606300
"13","2017",181200,1625100,518300,47900,614300,3684400
"14","2018",185800,1654800,525900,48700,622800,3753700
"15","2019",189600,1680500,532600,49400,632300,3814800
"16","2020",194600,1717500,542000,50200,645900,3896200
